sigla_tribunal,total_julgados_2026,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
"TRE-AC",42,68.852463,13.829129,-nan(ind),-nan(ind),16.666668
"TRE-AL",78,19.696970,13.042441,0.000000,0.000000,6.250000
"TRE-AM",281,50.630630,13.706932,0.000000,0.000000,11.250000
"TRE-AP",19,47.500000,13.944445,-nan(ind),0.000000,12.500000
"TRE-BA",387,71.402214,13.930482,0.000000,0.000000,13.973800
"TRE-CE",108,79.411766,13.926177,0.000000,0.000000,7.929515
"TRE-DF",8,21.052631,10.340593,-nan(ind),0.000000,0.000000
"TRE-ES",242,67.787117,13.551434,-nan(ind),0.000000,11.764706
"TRE-GO",263,54.677753,13.839797,0.000000,0.000000,19.587629
"TRE-MA",214,61.494255,13.824792,-nan(ind),0.000000,16.788322
"TRE-MG",613,30.619379,13.752542,0.000000,0.000000,5.286344
"TRE-MS",88,115.789474,13.895015,-nan(ind),0.000000,21.212122
"TRE-MT",0,0.000000,13.845951,0.000000,-nan(ind),0.000000
"TRE-PA",291,52.813065,13.925888,-nan(ind),0.000000,18.623482
"TRE-PB",282,57.905544,13.240692,-nan(ind),0.000000,22.674419
"TRE-PE",107,44.032921,13.918951,-nan(ind),0.000000,0.000000
"TRE-PI",223,45.050507,13.395086,-nan(ind),50.000000,20.754717
"TRE-PR",397,92.540794,13.923834,0.000000,0.000000,24.271845
"TRE-RJ",66,12.992126,12.973384,0.000000,0.000000,0.274725
"TRE-RN",461,48.020832,13.851543,-nan(ind),33.333336,21.153847
"TRE-RO",87,89.690720,13.904322,-nan(ind),50.000000,21.666666
"TRE-RR",16,34.042553,13.814842,-nan(ind),0.000000,0.000000
"TRE-RS",591,51.660843,13.821172,0.000000,0.000000,3.688525
"TRE-SC",260,48.872181,13.704674,-nan(ind),16.666668,4.000000
"TRE-SE",111,58.421051,13.640806,-nan(ind),-nan(ind),12.328767
"TRE-SP",2153,78.433517,13.461390,0.000000,0.000000,20.776495
"TRE-TO",84,51.219513,13.897606,0.000000,0.000000,2.127660
